year,region,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1976,"Central America",Flood,2,36,23000,0,0,23000,0
1976,"Central America",Storm,2,720,475000,1400,100000,576400,100000
1976,"Central America","Volcanic activity",1,0,70000,0,0,70000,0
1976,"Central America",Wildfire,1,0,0,0,0,0,0
1976,"Northern America",Flood,2,139,0,0,0,0,61000
1976,"South America",Earthquake,2,20,0,0,20000,20000,4000
1976,"South America",Flood,1,47,0,0,0,0,0
1976,"South America",Landslide,2,73,0,16,0,16,0
1976,"South America","Volcanic activity",1,1,20000,0,5000,25000,0
1977,Caribbean,Drought,1,0,450000,0,0,450000,0
1977,Caribbean,Epidemic,1,0,0,0,0,0,0
1977,Caribbean,Flood,2,7,18000,0,0,18000,0
1977,"Central America",Storm,1,10,50000,0,0,50000,0
1977,"Northern America",Drought,1,0,0,0,0,0,3000000
1977,"Northern America","Extreme temperature ",1,0,0,0,0,0,2800000
1977,"Northern America",Flood,3,140,2700,0,0,2700,200000
1977,"Northern America",Storm,3,91,0,0,0,0,0
1977,"South America",Drought,2,0,0,0,0,0,0
1977,"South America",Earthquake,1,70,0,100,40000,40100,80000
1977,"South America",Epidemic,2,26,300,0,0,300,0
1977,"South America",Flood,7,93,154140,0,70300,224440,11000
1977,"South America",Landslide,1,0,0,0,100,100,0
1977,"South America",Storm,2,25,0,100,16800,16900,6800
1978,Caribbean,Epidemic,1,0,0,0,0,0,0
1978,Caribbean,Storm,1,6,100,70,0,170,0
1978,"Central America",Drought,1,0,0,0,0,0,0
1978,"Central America",Earthquake,1,9,3750,100,0,3850,0
1978,"Central America",Flood,2,25,9000,0,0,9000,24300
1978,"Central America",Storm,2,5,6000,0,7500,13500,7000
1978,"Northern America",Flood,1,27,0,0,0,0,0
1978,"Northern America",Storm,4,215,0,0,0,0,100000
1978,"South America",Drought,1,0,0,0,0,0,2300000
1978,"South America",Flood,6,72,188600,0,20000,208600,2000
1978,"South America",Storm,1,5,0,100,0,100,0
1979,Caribbean,Flood,3,76,201000,0,50000,251000,0
1979,Caribbean,Storm,7,1451,1295610,6103,350000,1651713,344650
1979,Caribbean,"Volcanic activity",1,2,20000,0,0,20000,0
1979,"Central America",Earthquake,2,5,9500,75,0,9575,30000
1979,"Central America",Flood,4,1,147000,0,0,147000,13000
1979,"Northern America",Flood,1,0,0,0,0,0,19000
1979,"Northern America",Storm,4,186,2000,160,0,2160,2863000
1979,"South America",Drought,1,0,5000000,0,0,5000000,0
1979,"South America",Earthquake,3,652,10000,2642,100,12742,28000
1979,"South America",Flood,4,362,1740000,0,72000,1812000,0
1979,"South America",Landslide,1,30,0,0,0,0,0
1980,Caribbean,Drought,1,0,103000,0,0,103000,0
1980,Caribbean,Storm,11,263,450000,16,850500,1300516,690090
1980,"Central America",Earthquake,3,69,6000,360,0,6360,0
1980,"Central America",Flood,4,105,141350,0,0,141350,87000
1980,"Northern America",Earthquake,1,0,0,2,0,2,0
1980,"Northern America","Extreme temperature ",1,1260,0,0,0,0,2000000
1980,"Northern America",Flood,3,36,111000,0,6000,117000,350000
1980,"Northern America",Storm,3,12,0,170,400,570,910000
1980,"Northern America","Volcanic activity",1,90,0,0,2500,2500,860000
1980,"Northern America",Wildfire,1,0,5000,0,0,5000,0
1980,"South America",Earthquake,3,15,3150,76,0,3226,0
1980,"South America",Flood,7,218,362000,50,0,362050,0
1980,"South America",Storm,1,15,0,48,0,48,0
1981,Caribbean,Drought,2,0,0,0,0,0,0
1981,Caribbean,Flood,1,20,150000,0,0,150000,0
1981,Caribbean,Landslide,1,26,0,0,0,0,0
1981,"Central America",Earthquake,1,3,0,28,0,28,0
1981,"Central America",Flood,1,0,0,0,0,0,0
1981,"Central America",Storm,1,100,0,0,0,0,40000
1981,"Northern America",Flood,1,30,0,0,0,0,0
1981,"Northern America",Storm,4,30,0,0,0,0,940000
1981,"South America",Earthquake,4,43,12156,115,0,12271,5000
1981,"South America",Flood,4,317,52000,300,5000,57300,11000
1981,"South America",Landslide,3,155,18000,0,0,18000,0
1982,Caribbean,Storm,1,24,105000,0,75000,180000,85000
1982,"Central America",Drought,1,0,0,0,0,0,0
1982,"Central America",Earthquake,4,49,30500,17,2500,33017,5000
1982,"Central America",Flood,4,1145,75000,18456,0,93456,494600
1982,"Central America",Storm,3,426,122000,0,0,122000,539400
1982,"Central America","Volcanic activity",1,100,25000,500,15000,40500,117000
1982,"Northern America","Extreme temperature ",1,0,200,0,0,200,0
1982,"Northern America",Flood,2,11,0,0,0,0,33900
1982,"Northern America",Storm,11,503,36000,0,15500,51500,2112000
1982,"South America",Earthquake,2,23,0,0,0,0,0
1982,"South America",Flood,8,729,923000,0,5000,928000,632100
1982,"South America",Landslide,2,230,30000,0,0,30000,0
1982,"South America",Storm,1,33,4000,300,0,4300,0
1983,Caribbean,Drought,1,0,75000,0,0,75000,0
1983,Caribbean,Flood,2,15,164536,39,0,164575,60000
1983,Caribbean,Storm,2,0,3000,0,0,3000,1450
1983,Caribbean,Wildfire,1,0,0,0,0,0,0
1983,"Central America",Drought,1,0,81000,0,0,81000,0
1983,"Central America",Earthquake,2,12,5475,60,0,5535,1000
1983,"Central America",Landslide,1,50,0,0,0,0,0
1983,"Central America",Storm,2,275,250000,0,32500,282500,0
1983,"Central America","Volcanic activity",1,0,3500,0,0,3500,0
1983,"Northern America",Earthquake,3,2,1500,53,0,1553,52250
1983,"Northern America","Extreme temperature ",1,188,0,0,0,0,0
1983,"Northern America",Flood,3,10,0,0,0,0,458000
1983,"Northern America",Storm,6,132,0,0,6000,6000,4655000
1983,"South America",Drought,5,20,23083049,0,0,23083049,917200
1983,"South America",Earthquake,3,264,36500,1224,0,37724,410900
1983,"South America","Extreme temperature ",1,17,2700,0,0,2700,0
1983,"South America",Flood,7,469,9510000,300,258000,9768300,2280400
1983,"South America",Landslide,4,709,700000,40,0,700040,988800
1983,"South America","Mass movement (dry)",1,160,0,0,0,0,0
1983,"South America",Storm,1,1,0,40,500,540,0
1984,Caribbean,Flood,1,0,0,0,100,100,0
1984,Caribbean,Storm,3,2,10000,0,0,10000,4115
1984,"Central America",Flood,3,1,21000,0,0,21000,0
1984,"Central America",Storm,1,4,10000,0,0,10000,0
1984,"Central America","Volcanic activity",1,0,3000,0,0,3000,0
1984,"Northern America",Drought,1,0,30000,0,0,30000,1000000
1984,"Northern America",Flood,3,28,0,0,5500,5500,65000
1984,"Northern America",Storm,11,1117,14000,657,0,14657,2222600
1984,"South America",Epidemic,1,300,0,0,0,0,0
1984,"South America",Flood,7,263,363000,0,31500,394500,2000000
1984,"South America",Landslide,2,37,12000,14,0,12014,3000
1984,"South America",Storm,3,137,203264,115,119994,323373,0
1985,Caribbean,Flood,3,512,3895,0,0,3895,0
1985,Caribbean,Landslide,1,100,0,0,0,0,0
1985,Caribbean,Storm,3,11,477661,0,22300,499961,5205
1985,"Central America",Earthquake,2,9500,2001500,30204,103500,2135204,4104000
1985,"Northern America",Flood,5,12,5550,0,0,5550,12500
1985,"Northern America",Storm,12,375,1000000,700,20800,1021500,5200600
1985,"Northern America",Wildfire,1,0,0,0,0,0,0
1985,"South America",Drought,1,0,0,0,0,0,651000
1985,"South America",Earthquake,3,186,1024792,2821,500300,1527913,1500000
1985,"South America",Flood,6,176,1775000,0,58475,1833475,1730000
1985,"South America",Landslide,2,150,0,0,4000,4000,0
1985,"South America","Mass movement (dry)",1,0,0,0,0,0,0
1985,"South America",Storm,1,22,0,1000,2000,3000,0
1985,"South America","Volcanic activity",1,21800,7700,5000,0,12700,1000000
1985,"South America",Wildfire,1,0,800,0,0,800,0
1986,Caribbean,Drought,1,0,0,0,0,0,0
1986,Caribbean,Flood,5,202,177642,670,13200,191512,76000
1986,Caribbean,Storm,2,12,2000,0,0,2000,0
1986,"Central America",Earthquake,2,1100,502500,20000,250000,772500,1500000
1986,"Central America",Flood,3,22,33500,0,2500,36000,350
1986,"Northern America",Earthquake,1,0,150,29,0,179,720
1986,"Northern America","Extreme temperature ",1,48,0,0,0,0,1750000
1986,"Northern America",Flood,4,13,6500,0,0,6500,55000
1986,"Northern America",Storm,4,1,2400,80,0,2480,71500
1986,"Northern America",Wildfire,2,0,2000,0,0,2000,0
1986,"South America",Earthquake,5,20,23150,130,8900,32180,28000
1986,"South America",Epidemic,1,0,34722,0,0,34722,0
1986,"South America",Flood,7,158,925953,0,119000,1044953,68400
1986,"South America",Landslide,4,301,0,0,366,366,0
1986,"South America",Storm,3,21,59790,16,0,59806,2500
1987,Caribbean,Flood,7,42,35760,150,0,35910,36500
1987,Caribbean,Storm,4,3,0,8,430,438,129000
1987,Caribbean,Wildfire,1,0,0,0,0,0,0
1987,"Central America",Drought,1,0,73000,0,0,73000,0
